     1.60000000     0.00000000     5.40000000  -656.38158778  -656.38157639
     1.60000000     0.00000000     5.60000000  -656.40678463  -656.40677327
     1.60000000     0.00000000     5.80000000  -656.42401851  -656.42400716
     1.60000000     0.00000000     6.00000000  -656.43570601  -656.43569466
     1.60000000     0.00000000     6.20000000  -656.44356426  -656.44355291
     1.60000000     0.00000000     6.40000000  -656.44879953  -656.44878818
     1.60000000     0.00000000     6.60000000  -656.45225158  -656.45224023
     1.60000000     0.00000000     6.80000000  -656.45450049  -656.45448913
     1.60000000     0.00000000     7.00000000  -656.45594436  -656.45593299
     1.60000000     0.00000000     7.20000000  -656.45685475  -656.45684338
     1.60000000     0.00000000     7.40000000  -656.45741549  -656.45740412
     1.60000000     0.00000000     7.60000000  -656.45774976  -656.45773839
     1.60000000     0.00000000     8.00000000  -656.45803777  -656.45802639
     1.60000000     0.00000000     8.50000000  -656.45808592  -656.45807454
     1.60000000     0.00000000     9.00000000  -656.45803500  -656.45802363
     1.60000000     0.00000000     9.50000000  -656.45797207  -656.45796070
     1.60000000     0.00000000    10.00000000  -656.45792092  -656.45790954
     1.60000000     0.00000000    11.00000000  -656.45785784  -656.45784645
     1.60000000     0.00000000    11.50000000  -656.45784020  -656.45782881
     1.60000000     0.00000000    12.00000000  -656.45782800  -656.45781661
     1.60000000     0.00000000    12.50000000  -656.45781940  -656.45780801
     1.60000000     0.00000000    13.00000000  -656.45781320  -656.45780181
     1.60000000     0.00000000    13.50000000  -656.45780864  -656.45779725
     1.60000000     0.00000000    14.00000000  -656.45780523  -656.45779384
     1.60000000     0.00000000    14.50000000  -656.45780265  -656.45779126
     1.60000000     0.00000000    15.00000000  -656.45780068  -656.45778929
     1.60000000     0.00000000    15.50000000  -656.45779915  -656.45778776
     1.60000000     0.00000000    16.00000000  -656.45779798  -656.45778659
     1.60000000     0.00000000    17.00000000  -656.45779610  -656.45778472
     1.60000000     0.00000000    18.00000000  -656.45779505  -656.45778367
     1.60000000     0.00000000    19.00000000  -656.45779441  -656.45778302
     1.60000000     0.00000000    20.00000000  -656.45779397  -656.45778259
     1.60000000     0.00000000    21.00000000  -656.45779369  -656.45778230
     1.60000000     0.00000000    22.00000000  -656.45779349  -656.45778210
     1.60000000     0.00000000    23.00000000  -656.45779335  -656.45778196
     1.60000000     0.00000000    24.00000000  -656.45779324  -656.45778186
     1.60000000     0.00000000    25.00000000  -656.45779317  -656.45778178
     1.60000000     0.00000000    26.00000000  -656.45779311  -656.45778173
     1.60000000     0.00000000    27.00000000  -656.45779307  -656.45778168
     1.60000000     0.00000000    28.00000000  -656.45779305  -656.45778166
     1.60000000     0.00000000    29.00000000  -656.45779302  -656.45778163
     1.60000000     0.00000000    30.00000000  -656.45779300  -656.45778161
     1.60000000     0.00000000    32.00000000  -656.45779301  -656.45778163
     1.60000000     0.00000000    34.00000000  -656.45779295  -656.45778156
     1.60000000     0.00000000    36.00000000  -656.45779294  -656.45778155
     1.60000000     0.00000000    38.00000000  -656.45779293  -656.45778155
     1.60000000     0.00000000    40.00000000  -656.45779293  -656.45778154
              0              0              0              0              0
     1.60000000    15.00000000     5.40000000  -656.39269600  -656.39450408
     1.60000000    15.00000000     5.60000000  -656.41403356  -656.41547992
     1.60000000    15.00000000     5.80000000  -656.42868831  -656.42984035
     1.60000000    15.00000000     6.00000000  -656.43866786  -656.43958074
     1.60000000    15.00000000     6.20000000  -656.44540622  -656.44612544
     1.60000000    15.00000000     6.40000000  -656.44991556  -656.45047867
     1.60000000    15.00000000     6.60000000  -656.45290355  -656.45334147
     1.60000000    15.00000000     6.80000000  -656.45486098  -656.45519908
     1.60000000    15.00000000     7.00000000  -656.45612595  -656.45638493
     1.60000000    15.00000000     7.20000000  -656.45692991  -656.45712657
     1.60000000    15.00000000     7.40000000  -656.45743000  -656.45757786
     1.60000000    15.00000000     7.60000000  -656.45773195  -656.45784182
     1.60000000    15.00000000     8.00000000  -656.45799960  -656.45805731
     1.60000000    15.00000000     8.50000000  -656.45805368  -656.45807508
     1.60000000    15.00000000     9.00000000  -656.45801427  -656.45801735
     1.60000000    15.00000000     9.50000000  -656.45795992  -656.45795424
     1.60000000    15.00000000    10.00000000  -656.45791400  -656.45790447
     1.60000000    15.00000000    11.00000000  -656.45785553  -656.45784377
     1.60000000    15.00000000    11.50000000  -656.45783889  -656.45782695
     1.60000000    15.00000000    12.00000000  -656.45782723  -656.45781528
     1.60000000    15.00000000    12.50000000  -656.45781891  -656.45780703
     1.60000000    15.00000000    13.00000000  -656.45781286  -656.45780108
     1.60000000    15.00000000    13.50000000  -656.45780839  -656.45779670
     1.60000000    15.00000000    14.00000000  -656.45780505  -656.45779344
     1.60000000    15.00000000    14.50000000  -656.45780249  -656.45779095
     1.60000000    15.00000000    15.00000000  -656.45780059  -656.45778909
     1.60000000    15.00000000    15.50000000  -656.45779903  -656.45778756
     1.60000000    15.00000000    16.00000000  -656.45779791  -656.45778646
     1.60000000    15.00000000    17.00000000  -656.45779604  -656.45778462
     1.60000000    15.00000000    18.00000000  -656.45779502  -656.45778362
     1.60000000    15.00000000    19.00000000  -656.45779437  -656.45778298
     1.60000000    15.00000000    20.00000000  -656.45779396  -656.45778256
     1.60000000    15.00000000    21.00000000  -656.45779367  -656.45778228
     1.60000000    15.00000000    22.00000000  -656.45779348  -656.45778209
     1.60000000    15.00000000    23.00000000  -656.45779334  -656.45778195
     1.60000000    15.00000000    24.00000000  -656.45779324  -656.45778185
     1.60000000    15.00000000    25.00000000  -656.45779317  -656.45778178
